order,outcome,model,horizon,sample_type,term,term_role,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,observations,countries,clusters,effective_years,first_year,last_year,country_fe,year_fe,clustered_by_country,interpretation
31,DIVX,DIVX_T0_COMMON,T0,common,t0_inst,institutions,.0165860412834358,.040145934,.41314372,.68120009,-.063972667,.097144753,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
30,DIVX,DIVX_T0_COMMON,T0,common,t0_rents,rents,-.0050483073692277,.0015243777,-3.3117168,.0016911547,-.0081071956,-.0019894196,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
32,DIVX,DIVX_T0_COMMON,T0,common,c.t0_rents#c.t0_inst,interaction,.0002066423187224,.0011176182,.18489528,.85403043,-.0020360225,.0024493071,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
29,DIVX,DIVX_T0_OWN,T0,own,c.t0_rents#c.t0_inst,interaction,-.0000747604266495,.0010786828,-.069307141,.94501096,-.002239296,.0020897752,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
28,DIVX,DIVX_T0_OWN,T0,own,t0_inst,institutions,.0082211574134181,.035652287,.2305927,.81853604,-.063320391,.079762712,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
27,DIVX,DIVX_T0_OWN,T0,own,t0_rents,rents,-.0054768619889752,.0014069864,-3.8926189,.0002840065,-.0083001871,-.0026535371,1197,53,53,23,1996,2021,1,1,1,Coeficiente focal del horizonte
37,DIVX,DIVX_T1_COMMON,T1,common,t1_inst,institutions,.0378359329724377,.040117621,.94312501,.34997836,-.042665966,.11833783,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
38,DIVX,DIVX_T1_COMMON,T1,common,c.t1_rents#c.t1_inst,interaction,-.000300218576421,.0011663021,-.25741065,.79787773,-.0026405749,.0020401378,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
36,DIVX,DIVX_T1_COMMON,T1,common,t1_rents,rents,-.0042876982656752,.0014124028,-3.0357473,.0037433542,-.0071218917,-.0014535045,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
34,DIVX,DIVX_T1_OWN,T1,own,t1_inst,institutions,.023048790802533,.03842067,.59990603,.55117428,-.054047924,.1001455,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
33,DIVX,DIVX_T1_OWN,T1,own,t1_rents,rents,-.0044862321302632,.0012831953,-3.4961412,.00097474671,-.0070611523,-.0019113122,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
35,DIVX,DIVX_T1_OWN,T1,own,c.t1_rents#c.t1_inst,interaction,-.0002501729342991,.0010669918,-.23446566,.81554425,-.0023912487,.0018909028,1148,53,53,22,1997,2021,1,1,1,Coeficiente focal del horizonte
43,DIVX,DIVX_T2_COMMON,T2,common,t2_ma3_inst,institutions,.0442137942822531,.047100447,.93871284,.35221818,-.05030017,.13872775,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
44,DIVX,DIVX_T2_COMMON,T2,common,t2_ma3_rents_x_inst,interaction,-.0002207817629216,.0013266734,-.16641757,.86847377,-.0028829467,.0024413832,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
42,DIVX,DIVX_T2_COMMON,T2,common,t2_ma3_rents,rents,-.0060437467640782,.0017769729,-3.4011474,.0012971114,-.0096095037,-.0024779898,933,53,53,18,2004,2021,1,1,1,Coeficiente focal del horizonte
